state,lga,lat,lon
Anambra,Aguata,5.9833,6.8667
Anambra,Anaocha,6.0500,6.9500
Anambra,Awka North,6.2667,6.9500
Anambra,Awka South,6.2167,7.0333
Anambra,Ayamelum,6.3333,6.6500
Anambra,Dunukofia,6.2167,6.8667
Anambra,Idemili North,6.0833,7.0167
Anambra,Idemili South,6.0167,6.9833
Anambra,Ihiala,5.8500,6.8500
Anambra,Njikoka,6.1500,7.0000
Anambra,Nnewi North,6.0167,6.9167
Anambra,Nnewi South,5.9500,6.8833
Anambra,Ogbaru,6.0667,6.6500
Anambra,Onitsha North,6.1500,6.7833
Anambra,Onitsha South,6.1167,6.8167
Anambra,Orumba North,6.2500,6.7167
Anambra,Orumba South,6.1333,6.6833
Anambra,Oyi,6.2167,6.8500
Benue,Agatu,7.6667,8.2500
Benue,Apa,7.5833,8.4167
Benue,Buruku,7.6167,9.1000
Benue,Guma,7.5333,8.3667
Benue,Gwer East,7.6667,8.1667
Benue,Gwer West,7.4500,8.2500
Benue,Katsina-Ala,7.2167,9.2500
Benue,Konshisha,7.3833,8.9667
Benue,Kwande,7.3500,9.4167
Benue,Logo,7.5833,8.6500
Benue,Makurdi,7.7333,8.5167
Benue,Obi,7.5000,8.6167
Benue,Ogbadibo,7.4500,7.9667
Benue,Oju,7.2500,8.7500
Benue,Okpokwu,7.3167,8.5833
Benue,Oturkpo,7.3500,8.1167
Benue,Tarka,7.4500,8.7500
Benue,Ukum,7.4167,8.8500
Benue,Ushongo,7.2833,8.6167
Benue,Vandeikya,7.0167,9.0167
Ebonyi,Abakaliki,6.3167,8.1167
Enugu,Enugu,6.4500,7.5000
Kogi,Ajaokuta,7.5167,6.6167
Kogi,Lokoja,7.8167,6.7333
Nasarawa,Doma,8.4167,8.3500
Niger,Edati,9.3167,5.8167
Niger,Lapai,9.0167,6.5167
Niger,Minna,9.6177,6.5531
Niger,Mokwa,9.7167,5.0167
Ogun,Abeokuta North,7.2167,3.3500
Ogun,Abeokuta South,7.1500,3.3167
Ogun,Ado-Odo/Ota,6.7167,3.1500
Ogun,Egbado North,6.8167,2.9167
Ogun,Egbado South,6.6167,2.8167
Ogun,Ewekoro,6.9167,3.2167
Ogun,Ifo,6.8167,3.3500
Ogun,Ijebu East,6.9167,3.9167
Ogun,Ijebu North,6.8167,3.9833
Ogun,Ijebu Ode,6.8167,3.9167
Ogun,Obafemi Owode,6.9167,3.5167
Ogun,Odeda,7.0167,3.3167
Ogun,Sagamu,6.8500,3.6500
Taraba,Jalingo,8.8833,11.3500
Ebonyi,Afikpo South,5.8833,7.9167
Ebonyi,Ikwo,6.1167,8.2167
Enugu,Udenu,6.9667,7.6167
Kogi,Kabba/Bunu,7.8333,6.0667
Kogi,Olamaboro,7.1500,7.6500
Nasarawa,Lafia,8.4939,8.5167
Niger,Bida,9.0833,6.0167
Niger,Kontagora,10.4000,5.4667
Taraba,Karim Lamido,9.3000,11.2167
Taraba,Wukari,7.8667,9.7833
